股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
300253,卫宁健康,创业板,2022-08-20,7.89,-1.25,-0.1,153163,121629096.79,2.5,8.08,7.88,8.02,0.83,软件开发,上海板块,133.37,3.44
300254,仟源医药,创业板,2022-08-20,7.01,-0.71,-0.05,26526,18746822.0,1.98,7.14,7.0,7.06,1.26,化学制药,山西板块,-274.85,2.45
300255,常山药业,创业板,2022-08-20,6.02,-0.5,-0.03,34076,20570006.0,0.99,6.07,6.01,6.06,0.5,化学制药,河北板块,47.46,1.83
300256,*ST星星,创业板,2022-08-20,3.15,-1.56,-0.05,392944,123276975.67,6.25,3.24,3.04,3.15,4.1,消费电子,江西板块,-21.49,10.55
300257,开山股份,创业板,2022-08-20,15.89,-0.87,-0.14,41249,65719613.89,2.99,16.23,15.75,16.17,0.43,通用设备,上海板块,34.2,2.93
300258,精锻科技,创业板,2022-08-20,14.98,-4.04,-0.63,75771,115669838.7,5.25,15.72,14.9,15.64,1.63,汽车零部件,江苏板块,33.62,2.25
300259,新天科技,创业板,2022-08-20,4.03,-0.49,-0.02,152561,61662566.64,3.21,4.12,3.99,4.04,1.88,仪器仪表,河南板块,19.52,1.7
300260,新莱应材,创业板,2022-08-20,76.45,-2.02,-1.58,42232,331223216.3,7.24,81.89,76.24,78.95,2.8,通用设备,江苏板块,54.27,13.22
300261,雅本化学,创业板,2022-08-20,12.73,-2.53,-0.33,207875,268523932.95,2.99,13.12,12.73,13.05,2.19,农药兽药,江苏板块,43.9,5.46
300262,巴安水务,创业板,2022-08-20,3.22,0.31,0.01,109106,35391104.0,2.8,3.3,3.21,3.23,2.2,环保行业,上海板块,-10.0,4.28
300263,隆华科技,创业板,2022-08-20,9.96,-0.3,-0.03,1056291,1095216087.22,8.31,10.75,9.92,10.2,13.88,通用设备,河南板块,34.27,2.98
300264,佳创视讯,创业板,2022-08-20,6.7,-1.9,-0.13,609668,433359286.29,11.27,7.46,6.69,7.2,17.11,互联网服务,广东板块,-55.77,20.65
