股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
600292,远达环保,沪a,2022-08-19,6.42,0.31,0.02,54904,35306739.0,1.25,6.47,6.39,6.4,0.7,环保行业,重庆板块,72.8,0.97
600293,三峡新材,沪a,2022-08-19,3.82,-2.55,-0.1,351753,135930437.0,4.34,3.97,3.8,3.94,3.03,通信设备,湖北板块,20.0,2.19
600295,鄂尔多斯,沪a,2022-08-19,18.82,2.67,0.49,172141,322879589.0,5.24,19.16,18.2,18.32,1.88,钢铁行业,内蒙古,7.01,2.21
600296,S兰铝,沪a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
600297,广汇汽车,沪a,2022-08-19,2.49,-1.19,-0.03,635976,159554135.0,1.59,2.53,2.49,2.51,0.78,汽车服务,辽宁板块,7.57,0.49
600298,安琪酵母,沪a,2022-08-19,47.81,-3.41,-1.69,67342,326083994.0,3.11,49.35,47.81,49.23,0.82,食品饮料,湖北板块,31.12,4.85
600299,安迪苏,沪a,2022-08-19,9.34,-1.27,-0.12,52908,49783050.0,1.8,9.51,9.34,9.46,0.2,化学制品,北京板块,14.4,1.79
600300,维维股份,沪a,2022-08-19,3.43,-2.56,-0.09,379663,130954039.0,2.56,3.51,3.42,3.46,2.35,食品饮料,江苏板块,45.74,1.82
600301,南化股份,沪a,2022-08-19,11.9,-2.06,-0.25,24783,29816133.0,3.46,12.29,11.87,12.25,1.05,贸易行业,广西板块,161.12,8.62
600302,标准股份,沪a,2022-08-19,5.56,-2.8,-0.16,31232,17544121.0,3.67,5.76,5.55,5.75,0.9,专用设备,陕西板块,-56.24,1.75
600303,ST曙光,沪a,2022-08-19,4.71,4.9,0.22,679447,318122841.0,3.12,4.71,4.57,4.68,10.06,汽车整车,辽宁板块,-24.37,1.3
600305,恒顺醋业,沪a,2022-08-19,11.37,-1.56,-0.18,53960,61926901.0,2.25,11.62,11.36,11.57,0.54,食品饮料,江苏板块,36.91,5.35
600306,ST商城,沪a,2022-08-19,13.34,-1.19,-0.16,4105,5483372.0,2.0,13.51,13.24,13.5,0.23,商业百货,辽宁板块,-38.03,543.24
600307,酒钢宏兴,沪a,2022-08-19,1.8,0.0,0.0,234775,42323123.0,1.11,1.81,1.79,1.79,0.37,钢铁行业,甘肃板块,258.34,0.82
600308,华泰股份,沪a,2022-08-19,5.77,1.05,0.06,60144,34568653.0,1.58,5.78,5.69,5.71,0.52,造纸印刷,山东板块,8.79,0.73
600309,万华化学,沪a,2022-08-19,84.88,-0.13,-0.11,65013,554120002.0,1.95,85.98,84.32,84.32,0.21,化学制品,山东板块,12.83,3.77
600310,桂东电力,沪a,2022-08-19,3.68,2.22,0.08,522572,190186593.0,4.72,3.72,3.55,3.61,4.3,电力行业,广西板块,-14.64,1.78
600311,*ST荣华,沪a,2022-08-19,1.59,0.63,0.01,71232,11326322.0,1.9,1.6,1.57,1.57,1.07,贵金属,甘肃板块,-32.73,-11.96
600312,平高电气,沪a,2022-08-19,8.85,-1.56,-0.14,255722,227570194.0,3.0,9.05,8.78,8.99,1.88,电网设备,河南板块,75.01,1.31
600313,农发种业,沪a,2022-08-19,11.51,2.04,0.23,1058923,1227454010.0,5.59,11.85,11.22,11.22,10.39,农牧饲渔,北京板块,132.96,8.03
600315,上海家化,沪a,2022-08-19,33.1,-1.61,-0.54,47469,158588575.0,3.06,34.03,33.0,33.64,0.71,美容护理,上海板块,71.34,3.38
600316,洪都航空,沪a,2022-08-19,27.35,-2.95,-0.83,113723,315238988.0,3.48,28.33,27.35,28.12,1.59,航天航空,江西板块,1070.9,3.77
600317,营口港,沪a,2022-08-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
600318,新力金融,沪a,2022-08-19,7.43,-1.72,-0.13,153003,114833104.0,3.04,7.64,7.41,7.6,2.98,多元金融,安徽板块,414.91,3.32
