股票代码,名称,板块,时间,今收,跌涨幅,跌涨额,成交量,成交额,振幅,最高,最低,今开,换手率,行业板块,地区板块,市盈率,市净率
688055,龙腾光电,科创版,2022-08-20,5.46,-2.33,-0.13,71044,39719538.0,4.29,5.7,5.46,5.6,0.39,光学光电子,江苏板块,29.32,3.88
688056,莱伯泰科,科创版,2022-08-20,41.6,-7.56,-3.4,14027,60065445.0,7.53,44.99,41.6,44.3,5.49,仪器仪表,北京板块,58.65,3.61
688057,金达莱,科创版,2022-08-20,16.86,-2.15,-0.37,19712,33609535.0,2.79,17.32,16.84,17.17,1.42,环保行业,江西板块,12.13,1.55
688058,宝兰德,科创版,2022-08-20,55.45,-2.26,-1.28,11684,67123483.0,6.33,59.0,55.41,56.51,3.74,软件开发,北京板块,54.6,3.29
688059,华锐精密,科创版,2022-08-20,119.65,-5.64,-7.15,2430,29616801.0,6.77,128.0,119.41,125.15,0.98,通用设备,湖南板块,33.16,6.01
688060,云涌科技,科创版,2022-08-20,53.0,-2.75,-1.5,5650,30506009.0,4.5,55.36,52.91,54.5,2.15,软件开发,江苏板块,131.0,3.34
688062,迈威生物-U,科创版,2022-08-20,16.13,-1.77,-0.29,12817,20873913.0,2.74,16.56,16.11,16.42,1.36,生物制品,上海板块,-7.31,1.55
688063,派能科技,科创版,2022-08-20,475.13,-3.82,-18.88,23319,1133418642.0,5.24,499.9,474.01,491.33,2.84,电池,上海板块,181.52,24.44
688065,凯赛生物,科创版,2022-08-20,77.61,-3.08,-2.47,11393,89145890.0,4.2,80.83,77.47,80.0,0.48,化学制品,上海板块,67.26,4.2
688066,航天宏图,科创版,2022-08-20,74.6,-5.57,-4.4,42966,316629658.0,15.25,81.78,69.73,80.0,2.32,互联网服务,北京板块,807.89,6.09
688067,爱威科技,科创版,2022-08-20,21.57,-3.01,-0.67,7340,15965983.0,3.33,22.27,21.53,22.2,1.83,医疗器械,湖南板块,62.8,3.16
688068,热景生物,科创版,2022-08-20,66.17,-0.66,-0.44,15872,106562862.0,3.83,68.28,65.73,66.62,2.45,医疗器械,北京板块,2.51,1.94
